instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,rental_category,hr,time_category
46,2011-02-15,Musim Dingin,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Hari Kerja,Low,,
47,2011-02-16,Musim Dingin,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Hari Kerja,Medium,,
48,2011-02-17,Musim Dingin,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Hari Kerja,Medium,,
49,2011-02-18,Musim Dingin,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Hari Kerja,Medium,,
50,2011-02-19,Musim Dingin,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Hari Kerja,Low,,
51,2011-02-20,Musim Dingin,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Hari Kerja,Low,,
52,2011-02-21,Musim Dingin,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Hari Libur,Low,,
53,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Hari Kerja,Low,,
54,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Hari Kerja,Low,,
55,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Hari Kerja,Low,,
56,2011-02-25,Musim Dingin,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Hari Kerja,Low,,
57,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Hari Kerja,Low,,
58,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Hari Kerja,Medium,,
59,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Hari Kerja,Low,,
60,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Hari Kerja,Low,,
61,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Hari Kerja,Medium,,
62,2011-03-03,Musim Dingin,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Hari Kerja,Low,,
63,2011-03-04,Musim Dingin,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Hari Kerja,Low,,
64,2011-03-05,Musim Dingin,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Hari Kerja,Medium,,
65,2011-03-06,Musim Dingin,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Hari Kerja,Low,,
66,2011-03-07,Musim Dingin,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Hari Kerja,Low,,
67,2011-03-08,Musim Dingin,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Hari Kerja,Medium,,
68,2011-03-09,Musim Dingin,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Hari Kerja,Low,,
69,2011-03-10,Musim Dingin,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Hari Kerja,Low,,
70,2011-03-11,Musim Dingin,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Hari Kerja,Low,,
71,2011-03-12,Musim Dingin,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Hari Kerja,Medium,,
72,2011-03-13,Musim Dingin,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Hari Kerja,Medium,,
73,2011-03-14,Musim Dingin,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Hari Kerja,Medium,,
74,2011-03-15,Musim Dingin,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Hari Kerja,Medium,,
75,2011-03-16,Musim Dingin,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Hari Kerja,Medium,,
76,2011-03-17,Musim Dingin,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Hari Kerja,Medium,,
77,2011-03-18,Musim Dingin,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Hari Kerja,Medium,,
78,2011-03-19,Musim Dingin,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Hari Kerja,Medium,,
79,2011-03-20,Musim Dingin,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Hari Kerja,Medium,,
80,2011-03-21,Musim Semi,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Hari Kerja,Medium,,
81,2011-03-22,Musim Semi,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Hari Kerja,Medium,,
82,2011-03-23,Musim Semi,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Hari Kerja,Medium,,
83,2011-03-24,Musim Semi,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Hari Kerja,Low,,
84,2011-03-25,Musim Semi,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Hari Kerja,Medium,,
85,2011-03-26,Musim Semi,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Hari Kerja,Medium,,
86,2011-03-27,Musim Semi,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Hari Kerja,Low,,
87,2011-03-28,Musim Semi,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Hari Kerja,Medium,,
88,2011-03-29,Musim Semi,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Hari Kerja,Medium,,
89,2011-03-30,Musim Semi,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Hari Kerja,Low,,
90,2011-03-31,Musim Semi,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Hari Kerja,Low,,
91,2011-04-01,Musim Semi,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Hari Kerja,Medium,,
92,2011-04-02,Musim Semi,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Hari Kerja,Medium,,
93,2011-04-03,Musim Semi,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Hari Kerja,Medium,,
94,2011-04-04,Musim Semi,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Hari Kerja,Medium,,
95,2011-04-05,Musim Semi,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Hari Kerja,Low,,
96,2011-04-06,Musim Semi,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Hari Kerja,Medium,,
97,2011-04-07,Musim Semi,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Hari Kerja,Medium,,
98,2011-04-08,Musim Semi,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Hari Kerja,Low,,
99,2011-04-09,Musim Semi,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Hari Kerja,Medium,,
100,2011-04-10,Musim Semi,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Hari Kerja,Medium,,
101,2011-04-11,Musim Semi,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Hari Kerja,Medium,,
102,2011-04-12,Musim Semi,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Hari Kerja,Medium,,
103,2011-04-13,Musim Semi,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Hari Kerja,Medium,,
104,2011-04-14,Musim Semi,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Hari Kerja,Medium,,
105,2011-04-15,Musim Semi,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Hari Libur,Medium,,
106,2011-04-16,Musim Semi,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Hari Kerja,Low,,
107,2011-04-17,Musim Semi,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Hari Kerja,Medium,,
108,2011-04-18,Musim Semi,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Hari Kerja,Medium,,
109,2011-04-19,Musim Semi,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Hari Kerja,Medium,,
110,2011-04-20,Musim Semi,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Hari Kerja,Medium,,
111,2011-04-21,Musim Semi,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Hari Kerja,Medium,,
112,2011-04-22,Musim Semi,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Hari Kerja,Low,,
113,2011-04-23,Musim Semi,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Hari Kerja,Medium,,
114,2011-04-24,Musim Semi,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Hari Kerja,Medium,,
115,2011-04-25,Musim Semi,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Hari Kerja,Medium,,
116,2011-04-26,Musim Semi,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Hari Kerja,Medium,,
117,2011-04-27,Musim Semi,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Hari Kerja,Medium,,
118,2011-04-28,Musim Semi,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Hari Kerja,Medium,,
119,2011-04-29,Musim Semi,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Hari Kerja,Medium,,
120,2011-04-30,Musim Semi,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Hari Kerja,High,,
121,2011-05-01,Musim Semi,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Hari Kerja,Medium,,
122,2011-05-02,Musim Semi,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Hari Kerja,Medium,,
123,2011-05-03,Musim Semi,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Hari Kerja,Medium,,
124,2011-05-04,Musim Semi,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Hari Kerja,Medium,,
125,2011-05-05,Musim Semi,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Hari Kerja,Medium,,
126,2011-05-06,Musim Semi,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Hari Kerja,Medium,,
127,2011-05-07,Musim Semi,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Hari Kerja,Medium,,
128,2011-05-08,Musim Semi,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Hari Kerja,Medium,,
129,2011-05-09,Musim Semi,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Hari Kerja,Medium,,
130,2011-05-10,Musim Semi,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Hari Kerja,Medium,,
131,2011-05-11,Musim Semi,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Hari Kerja,Medium,,
132,2011-05-12,Musim Semi,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Hari Kerja,Medium,,
133,2011-05-13,Musim Semi,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Hari Kerja,Medium,,
134,2011-05-14,Musim Semi,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Hari Kerja,Medium,,
135,2011-05-15,Musim Semi,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Hari Kerja,Medium,,
136,2011-05-16,Musim Semi,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Hari Kerja,Medium,,
137,2011-05-17,Musim Semi,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Hari Kerja,Medium,,
138,2011-05-18,Musim Semi,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Hari Kerja,Medium,,
139,2011-05-19,Musim Semi,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Hari Kerja,Medium,,
140,2011-05-20,Musim Semi,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Hari Kerja,Medium,,
141,2011-05-21,Musim Semi,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Hari Kerja,High,,
142,2011-05-22,Musim Semi,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Hari Kerja,Medium,,
143,2011-05-23,Musim Semi,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Hari Kerja,Medium,,
144,2011-05-24,Musim Semi,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Hari Kerja,Medium,,
145,2011-05-25,Musim Semi,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Hari Kerja,Medium,,
146,2011-05-26,Musim Semi,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Hari Kerja,Medium,,
147,2011-05-27,Musim Semi,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Hari Kerja,Medium,,
148,2011-05-28,Musim Semi,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Hari Kerja,Medium,,
149,2011-05-29,Musim Semi,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Hari Kerja,Medium,,
150,2011-05-30,Musim Semi,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Hari Libur,Medium,,
151,2011-05-31,Musim Semi,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Hari Kerja,Medium,,
152,2011-06-01,Musim Semi,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Hari Kerja,Medium,,
153,2011-06-02,Musim Semi,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Hari Kerja,Medium,,
154,2011-06-03,Musim Semi,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Hari Kerja,High,,
155,2011-06-04,Musim Semi,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Hari Kerja,High,,
156,2011-06-05,Musim Semi,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Hari Kerja,Medium,,
157,2011-06-06,Musim Semi,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Hari Kerja,Medium,,
158,2011-06-07,Musim Semi,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Hari Kerja,Medium,,
159,2011-06-08,Musim Semi,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Hari Kerja,Medium,,
160,2011-06-09,Musim Semi,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Hari Kerja,Medium,,
161,2011-06-10,Musim Semi,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Hari Kerja,Medium,,
162,2011-06-11,Musim Semi,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Hari Kerja,Medium,,
163,2011-06-12,Musim Semi,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Hari Kerja,Medium,,
164,2011-06-13,Musim Semi,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Hari Kerja,High,,
165,2011-06-14,Musim Semi,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Hari Kerja,Medium,,
166,2011-06-15,Musim Semi,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Hari Kerja,High,,
167,2011-06-16,Musim Semi,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Hari Kerja,Medium,,
168,2011-06-17,Musim Semi,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Hari Kerja,Medium,,
169,2011-06-18,Musim Semi,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Hari Kerja,High,,
170,2011-06-19,Musim Semi,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Hari Kerja,Medium,,
171,2011-06-20,Musim Semi,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Hari Kerja,Medium,,
172,2011-06-21,Musim Panas,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Hari Kerja,Medium,,
173,2011-06-22,Musim Panas,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Hari Kerja,Medium,,
174,2011-06-23,Musim Panas,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Hari Kerja,Medium,,
175,2011-06-24,Musim Panas,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Hari Kerja,Medium,,
176,2011-06-25,Musim Panas,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Hari Kerja,High,,
177,2011-06-26,Musim Panas,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Hari Kerja,High,,
178,2011-06-27,Musim Panas,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Hari Kerja,Medium,,
179,2011-06-28,Musim Panas,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Hari Kerja,Medium,,
180,2011-06-29,Musim Panas,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Hari Kerja,High,,
181,2011-06-30,Musim Panas,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,Hari Kerja,High,,
182,2011-07-01,Musim Panas,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,Hari Kerja,High,,
183,2011-07-02,Musim Panas,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,Hari Kerja,High,,
184,2011-07-03,Musim Panas,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,Hari Kerja,Medium,,
185,2011-07-04,Musim Panas,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,Hari Libur,High,,
186,2011-07-05,Musim Panas,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,Hari Kerja,Medium,,
187,2011-07-06,Musim Panas,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,Hari Kerja,Medium,,
188,2011-07-07,Musim Panas,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,Hari Kerja,Medium,,
189,2011-07-08,Musim Panas,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,Hari Kerja,Medium,,
190,2011-07-09,Musim Panas,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,Hari Kerja,High,,
191,2011-07-10,Musim Panas,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,Hari Kerja,Medium,,
192,2011-07-11,Musim Panas,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,Hari Kerja,Medium,,
193,2011-07-12,Musim Panas,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,Hari Kerja,Medium,,
194,2011-07-13,Musim Panas,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,Hari Kerja,Medium,,
195,2011-07-14,Musim Panas,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,Hari Kerja,High,,
196,2011-07-15,Musim Panas,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,Hari Kerja,High,,
197,2011-07-16,Musim Panas,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,Hari Kerja,High,,
198,2011-07-17,Musim Panas,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,Hari Kerja,High,,
